Location,PricePSF,LocationPremium
Abul Fazal Enclave Jamia Nagar,14888.888888888889,6.130718954248366
Alaknanda,11856.883258820646,4.882246047749678
Alaknanda Gangotri Enclave,13250.0,5.455882352941177
Anand Lok,3062.5,1.2610294117647058
Anand Niketan,2500.0,1.0294117647058825
Anarkali Colony,14430.01443001443,5.941770647653001
Ansal Satbari,2914.238134887594,1.199980408483127
Azad Apartments,10833.333333333334,4.46078431372549
Babarpur,6040.723981900452,2.4873569337237154
Badarpur,8028.654485049833,3.3059165526675787
Bamnoli Sector 28 Dwarka,10000.0,4.11764705882353
Batla House Jamia Nagar,12500.0,5.147058823529412
Bharat Vihar,4228.095515595514,1.7409805064216826
Bharthal,11600.0,4.776470588235294
Bindapur,5687.074911548031,2.3417367282844834
Block GH5,14666.666666666666,6.03921568627451
Block SD Delhi,5555.555555555556,2.2875816993464055
Budh Vihar,7328.703703703704,3.0177015250544668
Burari,4760.25963946417,1.9601069103675994
CVD Line,4990.925589836661,2.0550870075798016
Chanakya Puri,4090.909090909091,1.6844919786096257
Chattarpur,4446.998211237566,1.831116910509586
Chhattarpur Enclave Phase1,14166.666666666666,5.833333333333333
Chittaranjan Park,13218.257583081502,5.442811945974737
DLF Farms,5240.7754846779235,2.1579663760438508
DLF Golf Course,9729.72972972973,4.006359300476948
DLF Phase 5,8150.78960774325,3.356207485541338
Dabri,6333.333333333333,2.607843137254902
Dashrath Puri,5538.461538461538,2.2805429864253393
Delhi Meerut Expressway,6119.578769603648,2.5198265521897376
Dwarka 11 Sector,2972.972972972973,1.2241653418124008
Dwarka Mor,5758.268834175819,2.371051872895926
Dwarka Sector 3 Road 9,8301.1583011583,3.4181240063593004
Dwarka Sector3,9444.444444444445,3.8888888888888893
Dwarka sec 6,10277.777777777777,4.23202614379085
East of Kailash,10375.992063492064,4.2724673202614385
Faridabad Gurgaon Road,15000.0,6.176470588235294
Ghitorni,2676.056338028169,1.1019055509527755
Govindpuri,4607.046437231915,1.8970191212131415
Greater Kailash,4064.8274829953734,1.673752492998095
